cascade_set,scaleFactor,minNeighbors,minSize,det,oversize,mean_area_ratio,score
frontalface_default+frontalface_alt2,1.1,4,20,7.0,0.0,0.005705285212618408,13.8
frontalface_default+frontalface_alt2,1.1,4,24,7.0,0.0,0.005705285212618408,13.8
frontalface_default,1.1,4,16,6.0,0.0,0.006259553811196034,14.8
frontalface_default,1.1,4,18,6.0,0.0,0.006259553811196034,14.8
frontalface_default,1.1,4,20,6.0,0.0,0.006259553811196034,14.8
frontalface_default,1.1,4,24,6.0,0.0,0.006259553811196034,14.8
frontalface_default+frontalface_alt2+profileface,1.1,1,24,34.0,1.0,0.005622319161087281,16.0
frontalface_default+frontalface_alt2+profileface,1.1,1,16,35.0,1.0,0.0054772921769410095,17.0
frontalface_default+frontalface_alt2+profileface,1.1,1,18,35.0,1.0,0.0054772921769410095,17.0
frontalface_default+frontalface_alt2+profileface,1.1,1,20,35.0,1.0,0.0054772921769410095,17.0
frontalface_default+frontalface_alt2+profileface,1.07,1,16,38.0,0.0,0.004785657595755553,18.0
frontalface_default+frontalface_alt2+profileface,1.07,1,18,38.0,0.0,0.004785657595755553,18.0
frontalface_default+frontalface_alt2+profileface,1.07,1,20,38.0,0.0,0.004785657595755553,18.0
frontalface_default+frontalface_alt2+profileface,1.07,1,24,38.0,0.0,0.004785657595755553,18.0
frontalface_default+frontalface_alt2+profileface,1.08,1,16,37.0,1.0,0.005405042514110889,19.0
frontalface_default+frontalface_alt2+profileface,1.08,1,18,37.0,1.0,0.005405042514110889,19.0
frontalface_default+frontalface_alt2+profileface,1.08,1,20,37.0,1.0,0.005405042514110889,19.0
frontalface_default+frontalface_alt2+profileface,1.08,1,24,37.0,1.0,0.005405042514110889,19.0
frontalface_default+frontalface_alt2+profileface,1.05,1,16,47.0,1.0,0.0049693223221859385,29.0
frontalface_default+frontalface_alt2+profileface,1.05,1,18,47.0,1.0,0.0049693223221859385,29.0
frontalface_default+frontalface_alt2+profileface,1.05,1,20,47.0,1.0,0.0049693223221859385,29.0
frontalface_default+frontalface_alt2+profileface,1.05,1,24,47.0,1.0,0.0049693223221859385,29.0
